2015-11-11 14:15:33,869 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: MOD_WAS:MOD_WAS:0.0.1-SNAPSHOT @ C:\Users\mj\Desktop\nanumi\nanumi\MOD_WAS\pom.xml.
2015-11-11 14:15:35,001 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo1.maven.org/maven2/org/springframework/spring-jdbc/3.2.14.RELEASE/spring-jdbc-3.2.14.RELEASE.pom
2015-11-11 14:15:35,248 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo1.maven.org/maven2/org/springframework/spring-jdbc/3.2.14.RELEASE/spring-jdbc-3.2.14.RELEASE.pom
2015-11-11 14:15:35,490 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.14.RELEASE/spring-tx-3.2.14.RELEASE.pom
2015-11-11 14:15:35,698 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.14.RELEASE/spring-tx-3.2.14.RELEASE.pom
2015-11-11 14:15:36,279 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo1.maven.org/maven2/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar
2015-11-11 14:15:37,462 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo1.maven.org/maven2/commons-logging/commons-logging/1.1.3/commons-logging-1.1.3.jar
2015-11-11 14:15:37,713 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo1.maven.org/maven2/org/springframework/spring-jdbc/3.2.14.RELEASE/spring-jdbc-3.2.14.RELEASE.jar
2015-11-11 14:15:47,614 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo1.maven.org/maven2/org/springframework/spring-jdbc/3.2.14.RELEASE/spring-jdbc-3.2.14.RELEASE.jar
2015-11-11 14:15:47,851 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.14.RELEASE/spring-tx-3.2.14.RELEASE.jar
2015-11-11 14:15:58,487 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo1.maven.org/maven2/org/springframework/spring-tx/3.2.14.RELEASE/spring-tx-3.2.14.RELEASE.jar
